age,monthly_income,employment_years,credit_score,existing_emi,loan_amount,loan_term_months,employment_type,city_tier,loan_approved
55,61950,14,796,45807,205260,36,Self-employed,Tier 2,1
43,205921,18,813,22301,1322263,36,Salaried,Tier 2,1
37,118500,15,628,5141,370974,48,Self-employed,Tier 3,1
46,177116,20,739,38756,1757955,36,Salaried,Tier 2,1
28,143588,3,596,13777,62419,72,Salaried,Tier 1,1
49,33997,1,738,38346,1656561,48,Self-employed,Tier 1,0
46,97751,12,805,29441,1445652,84,Self-employed,Tier 2,1
30,116605,0,771,47819,431856,60,Salaried,Tier 2,1
46,172983,16,790,28469,1596360,36,Salaried,Tier 1,1
54,73533,12,818,3845,1718292,60,Self-employed,Tier 2,1
27,100566,3,550,44650,1761909,36,Self-employed,Tier 3,0
24,243942,6,583,23290,813361,36,Self-employed,Tier 2,1
31,163643,16,628,47015,660937,60,Salaried,Tier 3,1
49,126255,8,785,30699,434793,12,Self-employed,Tier 3,1
56,243535,3,647,44252,1371856,12,Self-employed,Tier 3,1
45,207013,18,631,33146,1969747,12,Salaried,Tier 2,1
41,76005,0,741,3293,898934,72,Self-employed,Tier 3,1
56,235322,9,802,44398,1260933,12,Self-employed,Tier 3,1
30,207784,3,587,46428,1908047,36,Self-employed,Tier 2,0
57,61541,8,563,16608,1098025,84,Self-employed,Tier 3,0
29,41387,12,758,737,1951728,24,Salaried,Tier 2,1
44,111980,13,638,16619,1221744,60,Self-employed,Tier 1,0
55,197980,9,605,12470,1711127,84,Self-employed,Tier 3,1
55,103457,5,643,49863,109155,24,Self-employed,Tier 2,1
56,162129,15,642,22372,1115487,84,Self-employed,Tier 1,1
38,82028,5,634,16117,1623780,72,Self-employed,Tier 3,1
59,137246,16,794,14779,895484,24,Self-employed,Tier 3,1
52,73731,9,571,29294,512326,48,Salaried,Tier 2,0
44,173930,17,840,21630,806983,12,Salaried,Tier 1,1
43,197761,17,821,40039,329934,72,Salaried,Tier 2,1
52,62638,2,671,49900,526377,84,Self-employed,Tier 3,1
57,240670,19,677,12178,448422,36,Self-employed,Tier 3,1
32,195558,20,662,19935,171937,12,Self-employed,Tier 3,1
33,38567,14,822,47258,1183629,12,Salaried,Tier 3,1
43,178811,14,679,22784,1410670,24,Self-employed,Tier 1,1
45,75804,3,681,23027,428355,48,Salaried,Tier 1,1
55,126821,8,634,31008,1941369,12,Self-employed,Tier 2,1
50,21754,18,630,46631,1946459,84,Self-employed,Tier 2,0
37,45044,16,618,1823,1398416,84,Salaried,Tier 2,1
40,85260,10,697,6852,1573433,60,Salaried,Tier 3,1
45,84912,8,565,13072,1068696,60,Salaried,Tier 2,0
42,26706,9,654,11133,1035730,12,Salaried,Tier 1,0
33,26894,17,714,15111,1725259,24,Salaried,Tier 2,0
39,167109,19,750,32312,1089474,24,Salaried,Tier 2,1
56,101986,12,746,24161,1931736,36,Self-employed,Tier 1,1
32,99942,7,734,39287,367545,72,Salaried,Tier 1,1
39,200684,6,814,1777,1295874,72,Self-employed,Tier 3,1
32,47725,16,649,24014,599391,72,Self-employed,Tier 1,1
29,154998,20,763,14772,477479,48,Self-employed,Tier 1,1
27,122555,14,827,46389,1880641,24,Self-employed,Tier 2,1
48,27496,19,711,44627,1568413,36,Self-employed,Tier 1,0
34,74447,14,706,18161,1410764,60,Salaried,Tier 3,1
51,119604,0,800,42264,1680594,84,Salaried,Tier 2,1
39,178878,13,646,7490,1124401,72,Salaried,Tier 3,1
36,106199,4,567,41661,1830192,60,Self-employed,Tier 1,0
25,59321,10,646,24502,547393,60,Salaried,Tier 3,1
55,214167,15,550,35757,1135847,12,Self-employed,Tier 3,1
32,171728,1,765,41111,1175832,48,Self-employed,Tier 1,1
45,73147,7,681,32737,1538524,36,Self-employed,Tier 1,0
41,109396,10,809,17709,1165009,48,Self-employed,Tier 2,1
56,198738,17,674,44682,787990,12,Salaried,Tier 2,1
43,231440,2,631,8998,1200575,36,Salaried,Tier 2,1
36,56787,0,832,28906,806350,36,Salaried,Tier 1,1
59,212018,10,720,35490,1646436,24,Salaried,Tier 3,1
59,39727,15,608,4656,612834,48,Salaried,Tier 3,0
34,113081,17,581,36901,890597,48,Self-employed,Tier 2,0
51,140721,15,710,25735,900122,24,Salaried,Tier 2,1
25,86056,9,833,29092,496880,60,Self-employed,Tier 1,1
55,152153,17,655,1242,525551,12,Self-employed,Tier 3,1
43,183268,5,654,41307,780559,48,Self-employed,Tier 2,1
49,185807,18,777,1831,571727,24,Salaried,Tier 1,1
31,98102,3,737,28511,86948,84,Self-employed,Tier 2,1
38,228650,12,619,7246,1912015,36,Self-employed,Tier 1,1
32,174570,13,839,31467,1723683,72,Salaried,Tier 3,1
29,94865,2,636,18302,403351,84,Self-employed,Tier 1,1
30,180728,9,605,3232,1582713,24,Self-employed,Tier 2,1
37,85695,5,662,36526,913204,72,Self-employed,Tier 2,0
58,186972,0,562,38765,596312,60,Salaried,Tier 3,1
27,135235,13,567,10972,1866344,12,Self-employed,Tier 3,0
33,233971,7,731,48136,1705776,72,Self-employed,Tier 2,1
60,196773,18,662,34592,829521,60,Salaried,Tier 2,1
29,126777,13,778,10683,1332322,72,Salaried,Tier 2,1
47,37033,9,720,23664,461373,36,Self-employed,Tier 3,1
22,159877,16,844,36828,1884003,36,Salaried,Tier 2,1
25,184923,8,738,33172,1970489,36,Salaried,Tier 3,1
49,44832,5,628,18105,1593912,36,Salaried,Tier 2,0
57,212509,10,695,21700,1449273,24,Salaried,Tier 1,1
58,133725,6,731,11017,1755692,36,Salaried,Tier 1,1
39,163016,16,835,36613,1330325,84,Salaried,Tier 2,1
28,37873,0,799,20594,1058507,36,Salaried,Tier 1,1
21,58372,4,745,11384,676776,84,Self-employed,Tier 3,1
42,107464,8,620,30348,671029,24,Salaried,Tier 1,0
37,164451,17,797,16448,1811987,36,Salaried,Tier 1,1
27,135322,20,695,9491,281773,60,Salaried,Tier 3,1
45,185823,1,655,13112,1032099,60,Self-employed,Tier 1,0
24,118082,10,812,31021,1438930,48,Salaried,Tier 1,1
56,238894,5,845,44553,1272742,60,Salaried,Tier 2,1
26,23110,7,619,968,1600642,12,Self-employed,Tier 3,0
51,203413,3,742,368,1841825,12,Salaried,Tier 3,1
39,30087,17,617,8424,1062889,12,Self-employed,Tier 2,0
59,172834,10,601,35010,447751,24,Self-employed,Tier 2,1
47,100617,4,834,35851,1547827,60,Salaried,Tier 1,1
30,118483,14,558,25496,566031,84,Self-employed,Tier 1,1
46,27596,17,800,30936,97367,12,Salaried,Tier 1,1
39,125539,1,847,13322,1861408,48,Salaried,Tier 2,1
59,36313,10,733,1469,984622,24,Self-employed,Tier 3,1
23,131175,12,728,37493,1551604,48,Self-employed,Tier 1,1
33,215621,3,747,4259,1682748,60,Salaried,Tier 2,1
48,132914,6,677,36390,1557960,36,Salaried,Tier 3,1
40,41705,10,569,10292,718640,48,Self-employed,Tier 2,0
48,216436,3,614,26841,457962,36,Salaried,Tier 1,1
28,91445,14,731,28365,414716,24,Salaried,Tier 2,1
59,121892,0,790,17207,627539,48,Salaried,Tier 2,1
21,227717,2,573,36199,1183397,48,Self-employed,Tier 2,0
23,20023,13,632,22912,1706447,72,Salaried,Tier 2,1
33,137654,5,734,36919,294697,24,Salaried,Tier 3,1
48,208868,17,648,36981,1108783,24,Salaried,Tier 1,1
45,98073,0,611,15235,776487,12,Self-employed,Tier 3,1
53,110197,5,835,41757,1126333,60,Self-employed,Tier 2,1
58,82429,5,571,33547,983730,48,Self-employed,Tier 2,0
26,122195,20,761,48119,504623,48,Salaried,Tier 1,1
52,210699,15,675,43810,1774192,84,Self-employed,Tier 1,1
41,51848,4,591,19276,870254,24,Salaried,Tier 3,0
36,186876,16,647,31923,1360646,24,Self-employed,Tier 3,1
41,164451,9,580,5534,91340,60,Salaried,Tier 1,1
31,208736,20,707,26469,292955,24,Self-employed,Tier 3,1
57,45766,17,661,36074,1019738,36,Salaried,Tier 2,1
56,86099,6,796,35670,1928359,36,Salaried,Tier 2,1
55,185132,2,671,32563,942743,72,Self-employed,Tier 1,1
39,243805,12,822,46159,1698184,36,Salaried,Tier 3,1
40,87122,14,843,36486,1463285,36,Self-employed,Tier 2,1
38,165159,19,756,21,1093131,60,Self-employed,Tier 1,1
34,66868,18,659,34268,478373,48,Salaried,Tier 3,1
35,137119,2,827,41802,1380657,36,Salaried,Tier 2,1
51,172297,3,605,15799,1014211,72,Self-employed,Tier 3,1
21,113286,4,606,26336,1371939,24,Self-employed,Tier 3,0
23,24643,0,840,3641,1107975,36,Self-employed,Tier 3,1
36,242131,3,663,21596,701021,72,Salaried,Tier 1,1
43,54727,11,747,32959,804208,60,Self-employed,Tier 2,1
31,160077,9,728,13306,995161,84,Salaried,Tier 1,1
32,127079,20,768,46182,856479,84,Salaried,Tier 2,1
30,83697,19,826,8587,281615,84,Self-employed,Tier 2,1
52,34029,12,565,31359,659981,24,Self-employed,Tier 1,0
36,163298,13,610,21498,675219,72,Salaried,Tier 1,1
28,212718,4,603,4662,1039658,36,Salaried,Tier 2,1
58,209675,3,717,37094,1798827,48,Salaried,Tier 2,1
32,177803,13,575,41833,187852,24,Salaried,Tier 2,1
44,127458,9,614,27197,1387770,24,Self-employed,Tier 3,0
48,128384,16,649,20719,647839,84,Salaried,Tier 2,1
28,86926,9,623,24665,380810,48,Self-employed,Tier 1,1
48,155069,6,741,43239,1847555,84,Self-employed,Tier 1,1
56,73506,15,720,25032,1704880,24,Self-employed,Tier 1,1
46,96229,0,822,12641,1735999,36,Salaried,Tier 2,1
28,198887,16,736,41964,103010,84,Salaried,Tier 2,1
48,60092,20,572,30028,1330660,84,Self-employed,Tier 3,1
48,80539,8,730,45494,1661029,84,Self-employed,Tier 3,1
57,215149,5,657,15651,1372248,24,Self-employed,Tier 1,1
56,170889,18,711,8536,957272,36,Self-employed,Tier 3,1
47,186933,12,755,45712,230680,48,Salaried,Tier 3,1
37,31428,2,627,6273,449130,12,Self-employed,Tier 1,1
29,193006,6,565,6284,1660000,48,Salaried,Tier 2,0
53,159330,8,645,25692,1446728,36,Salaried,Tier 3,1
40,75775,4,696,8817,586364,60,Salaried,Tier 2,1
33,230652,9,551,28955,1778719,84,Salaried,Tier 1,1
48,244019,16,559,26555,953057,48,Self-employed,Tier 1,1
49,23469,11,674,20378,1800652,60,Salaried,Tier 3,1
33,46854,15,630,41182,1673162,60,Self-employed,Tier 1,0
55,155328,2,689,17127,1939312,36,Salaried,Tier 1,1
26,94256,8,699,49614,1964368,36,Self-employed,Tier 1,0
38,183009,14,837,17952,119835,84,Self-employed,Tier 3,1
25,117134,4,678,11539,572757,12,Self-employed,Tier 3,1
45,150723,12,788,46761,686712,72,Self-employed,Tier 3,1
22,199360,13,607,46219,713478,24,Self-employed,Tier 1,1
30,102730,19,747,14692,1352970,48,Salaried,Tier 2,1
50,174123,14,760,18120,369055,36,Self-employed,Tier 1,1
25,45386,15,594,13334,1040993,48,Salaried,Tier 3,0
53,224126,12,646,28615,153088,72,Self-employed,Tier 2,1
21,165256,16,828,7903,1638049,72,Salaried,Tier 2,1
38,51787,7,572,28527,1009296,84,Salaried,Tier 3,0
52,39621,20,593,15629,1673477,60,Salaried,Tier 2,1
31,224636,1,576,17740,1863948,84,Self-employed,Tier 2,0
41,95984,4,831,33782,1263575,24,Salaried,Tier 3,1
46,208864,5,646,26708,312530,12,Self-employed,Tier 2,0
45,194325,11,585,10860,1583945,48,Self-employed,Tier 2,0
42,52051,17,658,17438,1564520,24,Salaried,Tier 3,0
47,67811,0,604,1764,1390740,12,Salaried,Tier 2,0
33,48447,16,741,6009,1665542,48,Self-employed,Tier 2,1
53,146046,10,768,20842,267767,24,Self-employed,Tier 2,1
54,233002,9,734,42372,1159970,36,Self-employed,Tier 2,1
55,249109,18,618,48780,1822881,48,Self-employed,Tier 3,1
21,179326,13,679,33435,1738241,24,Self-employed,Tier 1,1
41,102045,9,604,3370,696004,72,Self-employed,Tier 1,0
26,134859,14,646,38744,237486,12,Salaried,Tier 2,1
48,206490,18,636,20454,1022320,24,Self-employed,Tier 3,1
37,163544,3,843,41381,1678782,36,Self-employed,Tier 3,1
25,21471,1,668,38367,1583073,84,Salaried,Tier 2,0
51,138312,8,757,3650,1341132,48,Salaried,Tier 1,1
25,244876,9,703,45117,1476360,48,Salaried,Tier 2,1
58,157401,10,584,25708,1783391,48,Self-employed,Tier 3,1
23,183937,13,628,42662,416590,36,Salaried,Tier 3,1
43,64850,6,616,3190,1268383,12,Salaried,Tier 1,1
57,72220,14,583,48113,144702,48,Self-employed,Tier 3,0
57,111808,18,646,8789,155509,12,Self-employed,Tier 3,1
30,155469,14,718,32125,405752,24,Self-employed,Tier 3,1
30,246981,7,718,33159,1212886,72,Self-employed,Tier 1,1
39,184597,10,700,17459,882234,72,Salaried,Tier 3,1
37,71072,8,620,35418,1821956,12,Self-employed,Tier 2,0
41,239178,14,552,46368,608910,12,Salaried,Tier 1,1
34,101820,0,581,47085,159935,72,Self-employed,Tier 2,0
29,233602,0,836,18768,310440,48,Salaried,Tier 2,1
21,41284,18,631,49961,1216495,60,Self-employed,Tier 1,0
33,210402,2,592,15563,970101,60,Self-employed,Tier 2,1
24,101369,9,654,27885,1008101,36,Self-employed,Tier 1,1
21,43122,7,550,21885,746314,84,Salaried,Tier 2,0
60,148349,14,610,6895,119519,72,Salaried,Tier 1,1
52,88553,9,819,23958,761475,72,Salaried,Tier 3,1
54,230978,0,729,1531,1596780,36,Self-employed,Tier 3,1
48,112788,17,773,5481,1010655,60,Salaried,Tier 2,1
51,80812,1,555,23932,1355163,24,Self-employed,Tier 3,0
28,25999,18,652,21360,1246688,48,Self-employed,Tier 1,0
59,40436,12,559,43642,94772,48,Self-employed,Tier 2,0
46,60963,0,620,24829,172431,24,Salaried,Tier 3,0
54,151168,1,639,19932,932522,24,Self-employed,Tier 3,1
23,174351,15,775,38931,244904,60,Salaried,Tier 2,1
32,126899,14,707,38032,208988,36,Self-employed,Tier 3,1
21,44201,12,777,15890,881303,24,Self-employed,Tier 3,1
25,168787,15,675,18807,564743,36,Self-employed,Tier 2,1
50,178381,16,758,11767,1911380,84,Salaried,Tier 3,1
50,164150,20,646,8071,89080,12,Salaried,Tier 3,1
37,205686,6,623,26149,156242,48,Self-employed,Tier 3,1
43,23105,16,664,15540,879154,60,Salaried,Tier 3,1
35,135666,6,740,35676,564080,48,Salaried,Tier 2,1
57,112848,12,719,4712,1127624,60,Self-employed,Tier 1,1
41,20839,4,753,26201,1708069,12,Self-employed,Tier 1,1
34,86920,16,605,44958,977281,48,Salaried,Tier 3,1
22,61619,2,757,19899,1415431,12,Self-employed,Tier 3,1
31,60821,6,590,19787,217403,60,Self-employed,Tier 1,0
59,143736,16,581,20982,306392,24,Salaried,Tier 3,0
58,162565,6,564,22606,70968,84,Salaried,Tier 1,0
54,35069,20,611,10150,1545761,48,Self-employed,Tier 2,1
58,25531,0,704,20393,1332993,12,Salaried,Tier 2,0
54,186123,16,833,37259,1634156,72,Salaried,Tier 2,1
38,156808,16,758,46687,826230,48,Self-employed,Tier 2,1
50,156782,10,736,46936,1008298,48,Self-employed,Tier 2,1
35,85155,2,679,27750,1440179,48,Self-employed,Tier 2,1
47,163047,14,676,8593,1871868,36,Self-employed,Tier 1,1
54,80424,20,841,17358,886624,12,Salaried,Tier 3,1
58,63603,10,663,16607,1707057,12,Salaried,Tier 1,0
53,172324,15,748,37381,643453,48,Self-employed,Tier 2,1
44,229869,8,562,24811,904082,24,Self-employed,Tier 3,0
35,150503,0,820,28074,1591773,48,Self-employed,Tier 3,1
50,223675,15,638,20595,1724262,36,Self-employed,Tier 2,1
37,186553,8,764,44194,796470,60,Salaried,Tier 2,1
25,110573,18,827,49377,1982893,36,Salaried,Tier 2,1
49,158629,11,752,26853,203329,24,Self-employed,Tier 2,1
24,224043,18,623,8183,1199164,48,Self-employed,Tier 2,1
30,121302,8,574,20661,1464076,12,Salaried,Tier 2,0
37,149234,6,650,41169,827110,84,Salaried,Tier 3,1
30,183814,13,725,36495,1622762,72,Salaried,Tier 2,1
37,37675,18,666,13703,1968517,48,Salaried,Tier 2,1
40,91997,18,715,30815,1845209,24,Self-employed,Tier 3,1
44,166087,1,590,29565,1412392,12,Salaried,Tier 1,1
25,199129,8,669,22942,1030812,36,Salaried,Tier 2,1
54,181663,12,646,42986,782943,60,Salaried,Tier 3,1
26,242655,14,694,33161,1611128,60,Self-employed,Tier 3,1
22,249390,2,765,48760,1382833,84,Self-employed,Tier 1,1
33,158905,10,778,41803,1361414,48,Salaried,Tier 2,1
31,25896,20,679,9716,65588,36,Salaried,Tier 2,1
43,182044,13,686,41563,767116,84,Self-employed,Tier 2,1
36,67733,7,822,33349,507301,72,Self-employed,Tier 3,1
51,59800,17,666,47098,816719,72,Salaried,Tier 2,1
31,114044,18,643,42899,295456,84,Self-employed,Tier 2,1
36,23347,15,717,132,1815078,24,Salaried,Tier 2,1
28,208135,1,752,47752,1162949,60,Self-employed,Tier 2,1
24,244922,7,698,3385,1970611,36,Salaried,Tier 1,1
60,151715,5,732,36538,580992,48,Salaried,Tier 1,1
24,58785,11,701,35036,1138712,12,Self-employed,Tier 1,0
45,36681,14,623,33743,1690371,48,Salaried,Tier 2,0
23,199098,7,823,40373,97361,48,Self-employed,Tier 2,1
52,121864,3,591,7213,895279,36,Self-employed,Tier 3,0
23,164964,14,761,44223,1991367,60,Self-employed,Tier 3,1
47,65299,19,650,26119,192513,36,Salaried,Tier 3,1
49,35073,16,594,2835,1479626,12,Salaried,Tier 2,0
52,120304,12,631,2738,64677,84,Salaried,Tier 1,1
39,48682,17,566,42317,1912826,36,Self-employed,Tier 1,0
41,246870,1,622,4134,1362588,24,Salaried,Tier 1,1
25,245966,12,563,25892,1706455,48,Salaried,Tier 2,1
38,142302,12,706,39601,1427984,60,Salaried,Tier 1,1
48,163361,14,772,8353,1696032,72,Salaried,Tier 3,1
42,133359,19,681,15690,1765979,12,Self-employed,Tier 3,1
41,156999,9,596,1909,121939,72,Salaried,Tier 1,1
26,197402,2,656,25703,1376452,48,Self-employed,Tier 3,1
21,84707,18,657,14496,1940252,36,Self-employed,Tier 1,1
25,226526,2,814,12062,461742,72,Self-employed,Tier 1,1
32,83428,13,754,9850,1894348,24,Self-employed,Tier 3,1
46,68601,7,628,27701,809848,36,Salaried,Tier 3,1
54,226537,3,704,34731,858826,48,Salaried,Tier 3,1
34,151611,19,820,5153,1459277,72,Salaried,Tier 3,1
46,129487,10,796,10481,1233750,84,Self-employed,Tier 1,1
47,171741,10,568,33734,545062,12,Salaried,Tier 3,1
29,220040,10,575,889,1642023,72,Self-employed,Tier 3,1
46,169716,1,766,19445,172366,84,Salaried,Tier 2,1
42,167817,16,703,6461,246164,84,Salaried,Tier 3,1
50,46228,8,703,38934,842644,72,Salaried,Tier 3,1
37,183593,1,723,28205,1589152,60,Self-employed,Tier 1,1
46,140788,14,641,23351,873837,72,Salaried,Tier 1,1
56,115239,15,730,16006,442776,48,Self-employed,Tier 2,1
21,44928,3,680,44149,1437781,84,Self-employed,Tier 3,1
28,36322,7,847,49112,406440,12,Self-employed,Tier 3,1
55,206786,8,824,10940,891618,48,Salaried,Tier 3,1
35,105896,4,822,11258,1011743,24,Salaried,Tier 3,1
42,80292,15,625,24485,1864740,36,Self-employed,Tier 3,0
34,47055,12,726,23763,1846929,72,Self-employed,Tier 3,1
46,60891,6,733,40048,1483865,60,Self-employed,Tier 2,1
48,99912,19,680,1067,1605343,12,Self-employed,Tier 3,1
43,155660,16,598,20607,584820,60,Self-employed,Tier 3,1
34,108536,2,604,43883,260126,60,Salaried,Tier 3,0
44,24304,4,703,9018,1039516,60,Salaried,Tier 2,1
22,25345,18,749,48521,1085340,72,Salaried,Tier 3,1
46,178372,11,667,46946,1314927,12,Self-employed,Tier 2,1
34,173331,6,812,15187,1427260,12,Self-employed,Tier 1,1
27,109006,8,595,37375,153021,84,Salaried,Tier 3,0
23,237625,5,738,3985,839703,60,Salaried,Tier 2,1
43,164424,16,678,43052,50209,84,Self-employed,Tier 1,1
38,147350,15,598,19563,272071,84,Self-employed,Tier 2,1
58,182437,2,574,47322,1759475,36,Self-employed,Tier 2,0
55,37446,20,815,37306,1082345,72,Salaried,Tier 1,1
35,20336,3,667,18608,856409,72,Self-employed,Tier 3,1
45,80032,9,693,39139,1303790,48,Self-employed,Tier 3,1
57,224487,4,749,1726,1208496,84,Self-employed,Tier 2,1
48,115852,20,706,26582,1488876,72,Salaried,Tier 1,1
30,247948,9,683,5791,411732,60,Self-employed,Tier 3,1
59,156593,11,697,8458,1429404,24,Salaried,Tier 2,1
37,220779,9,620,17221,1328720,60,Self-employed,Tier 1,1
59,172553,12,782,48506,960294,12,Self-employed,Tier 2,1
42,36474,10,848,20968,1366327,72,Salaried,Tier 1,1
46,195832,15,703,17070,266194,72,Self-employed,Tier 3,1
45,73718,7,639,27937,406930,48,Salaried,Tier 3,0
37,62629,7,748,49508,438550,84,Self-employed,Tier 2,1
33,63232,7,710,41831,233011,24,Salaried,Tier 3,1
40,104544,12,575,42933,723954,72,Self-employed,Tier 3,0
45,216241,1,670,47307,1550174,48,Salaried,Tier 1,1
24,68669,11,850,48340,57399,48,Salaried,Tier 3,1
30,227093,9,761,37415,1612818,24,Self-employed,Tier 1,1
23,87184,11,612,42770,1749676,60,Salaried,Tier 1,0
38,197017,10,617,20802,992621,60,Self-employed,Tier 2,1
56,31140,14,802,43601,148662,60,Salaried,Tier 1,1
42,144468,15,551,10420,1394337,36,Self-employed,Tier 3,1
54,101457,16,657,6642,712858,84,Self-employed,Tier 1,1
28,32357,1,835,19775,1987834,84,Self-employed,Tier 1,1
60,129672,17,598,28754,822592,60,Self-employed,Tier 2,1
39,86673,11,689,43310,966283,24,Salaried,Tier 3,1
57,139673,18,767,4357,423221,36,Self-employed,Tier 3,1
26,83633,17,593,21263,1084023,84,Self-employed,Tier 3,1
46,226015,16,818,48367,1935632,60,Self-employed,Tier 1,1
54,114111,5,627,13201,846060,36,Self-employed,Tier 3,1
26,96258,14,765,2739,443545,24,Self-employed,Tier 3,1
57,161996,2,647,13231,350763,60,Salaried,Tier 1,1
53,87286,5,785,42278,1105608,12,Self-employed,Tier 2,1
42,111269,2,831,42495,1802030,72,Salaried,Tier 2,1
41,92071,0,698,21168,1398754,24,Salaried,Tier 1,1
26,206398,12,615,32624,676946,48,Self-employed,Tier 2,1
26,239095,20,783,10635,957555,48,Self-employed,Tier 2,1
24,48651,13,636,9964,1614458,24,Salaried,Tier 2,0
50,88202,12,628,27785,1971166,48,Salaried,Tier 3,1
31,66777,3,754,29510,1678128,84,Salaried,Tier 2,1
50,166066,6,828,17261,1716984,24,Self-employed,Tier 3,1
51,85263,9,803,19254,97850,12,Salaried,Tier 2,1
44,208706,6,679,11392,1627586,24,Salaried,Tier 3,1
29,118158,20,633,12336,329916,60,Self-employed,Tier 1,1
23,28800,14,825,11939,398249,60,Salaried,Tier 1,1
51,55823,14,736,27412,484895,36,Self-employed,Tier 2,1
60,81878,3,595,16676,1036275,48,Salaried,Tier 3,0
57,36708,5,732,9843,54576,72,Self-employed,Tier 1,1
56,161891,19,817,45591,1780643,48,Salaried,Tier 1,1
44,223977,4,845,25112,1460124,84,Self-employed,Tier 1,1
51,81870,19,649,30598,484848,24,Self-employed,Tier 1,0
26,27283,11,627,35454,1664340,72,Salaried,Tier 2,0
22,179645,0,821,33001,1346868,72,Self-employed,Tier 3,1
40,96707,7,711,27228,1522077,48,Salaried,Tier 1,0
48,180005,0,593,14429,860586,72,Self-employed,Tier 2,1
31,23774,4,787,18758,1511846,72,Self-employed,Tier 1,1
24,221127,5,683,2272,1377885,60,Self-employed,Tier 1,1
35,160055,20,741,17350,64439,12,Self-employed,Tier 1,1
26,114468,2,827,22538,1478931,24,Self-employed,Tier 1,1
50,114334,14,567,3400,1667382,48,Self-employed,Tier 2,0
58,36133,4,561,15371,1317699,60,Self-employed,Tier 3,0
22,164011,13,729,37310,1649826,84,Salaried,Tier 2,1
35,18781,17,672,36291,813445,84,Salaried,Tier 2,1
31,132586,15,795,18147,1398483,36,Self-employed,Tier 2,1
28,205772,5,771,3291,166189,72,Self-employed,Tier 1,1
46,45624,13,600,35256,1208866,72,Self-employed,Tier 3,0
25,24823,7,620,10892,1031598,48,Salaried,Tier 1,1
26,36489,6,597,34326,1995822,12,Self-employed,Tier 2,0
46,189033,7,568,37458,855896,12,Salaried,Tier 1,1
24,47118,12,811,38889,1009540,48,Self-employed,Tier 3,1
39,118417,5,633,44966,173980,48,Self-employed,Tier 3,0
40,99816,17,704,37207,277021,60,Self-employed,Tier 1,1
53,171335,1,602,40288,738630,84,Self-employed,Tier 2,0
40,31565,7,656,25995,1140875,48,Self-employed,Tier 1,1
32,169426,10,684,5409,791165,84,Salaried,Tier 2,1
21,192023,0,618,42438,81541,36,Self-employed,Tier 3,1
46,109179,5,560,44874,1434265,84,Salaried,Tier 1,0
34,41648,15,692,44702,525759,60,Salaried,Tier 3,1
58,199801,19,741,29823,797358,72,Self-employed,Tier 2,1
57,59971,11,618,7869,179188,72,Self-employed,Tier 2,0
31,36658,10,572,35724,258150,84,Self-employed,Tier 1,0
56,39253,9,730,22401,526186,72,Salaried,Tier 1,1
33,213238,2,842,25958,1914773,72,Salaried,Tier 1,1
23,197635,12,558,10766,1908777,24,Salaried,Tier 3,1
53,175462,2,820,19768,269073,36,Self-employed,Tier 2,1
26,106664,14,642,30794,530620,60,Salaried,Tier 2,1
30,200650,15,566,26145,594444,60,Salaried,Tier 3,1
25,228097,12,703,10086,791196,72,Salaried,Tier 1,1
43,121850,16,698,43203,1542273,12,Self-employed,Tier 1,0
30,181730,2,816,26442,718795,60,Salaried,Tier 3,1
22,155924,19,655,16412,775010,36,Salaried,Tier 2,1
33,244058,10,584,25596,751696,48,Self-employed,Tier 2,1
60,151623,20,668,10255,1172207,36,Self-employed,Tier 2,1
22,89947,18,563,42406,874341,72,Self-employed,Tier 2,1
40,79001,10,563,40524,643775,72,Salaried,Tier 3,0
21,198231,15,815,23332,988972,24,Salaried,Tier 2,1
57,140775,20,689,44624,535825,84,Salaried,Tier 3,1
29,200779,2,843,15764,359799,60,Self-employed,Tier 1,1
37,51243,5,668,27563,477557,84,Salaried,Tier 3,0
29,170872,13,787,22139,1865599,84,Self-employed,Tier 2,1
31,93939,17,583,36370,769542,60,Self-employed,Tier 1,1
35,75828,16,718,5062,1150362,60,Salaried,Tier 3,1
44,156311,3,559,44645,118304,72,Salaried,Tier 3,0
58,24710,14,671,7244,415750,60,Salaried,Tier 3,1
55,170456,10,694,6372,1276162,12,Self-employed,Tier 1,1
50,170110,2,772,39873,1743802,12,Self-employed,Tier 3,1
51,189918,2,806,19965,1525771,48,Salaried,Tier 2,1
25,237055,15,817,44997,534103,60,Self-employed,Tier 1,1
34,216893,4,553,16956,1965989,24,Salaried,Tier 1,0
31,55991,20,655,40473,105107,48,Salaried,Tier 3,1
29,228129,9,634,13894,572058,72,Salaried,Tier 2,1
54,156043,18,763,45048,1343767,60,Self-employed,Tier 1,1
32,178211,3,670,33382,1755096,12,Self-employed,Tier 3,1
55,103445,18,681,4050,400041,24,Salaried,Tier 2,1
55,226139,10,746,16709,1171153,48,Salaried,Tier 3,1
21,98257,1,568,15722,789663,24,Self-employed,Tier 3,1
60,233814,9,679,15210,454062,60,Salaried,Tier 1,1
42,55711,10,561,49510,310933,36,Self-employed,Tier 1,0
49,24530,19,630,36545,1727044,24,Salaried,Tier 3,1
28,29116,15,811,38674,332068,24,Self-employed,Tier 1,1
31,83794,18,674,34489,1471913,72,Salaried,Tier 1,1
57,149354,10,816,17733,719242,12,Self-employed,Tier 2,1
34,228545,13,689,20080,1834210,60,Salaried,Tier 2,1
